#Generation	Deleted programs	Maximum size	Minimum size	Average size	Maximum fitness	Minimum fitness	Average fitness	Best program
1	913	87	1	4.01034	-0.0487064	-79.76	-2.38962	 avg(max,mu_tot) 
2	528	87	1	5.08034	-0.0451074	-61.7562	-1.89207	  ma_sigma^2 / log(sigma)  
3	545	91	1	6.12004	-0.0451074	-73.9286	-1.61419	  ma_sigma^2 / log(sigma)  
4	584	95	1	6.93638	-0.0451074	-50.8295	-1.44345	  ma_sigma^2 / log(sigma)  
5	589	100	1	7.85942	-0.0461977	-64.6833	-1.38877	 mix( mix(ma|sigma_tot,max) | sqrt(sigma_t) , log(-3.024) ) 
6	570	92	1	8.62492	-0.0461977	-68.0366	-1.33206	 mix( mix(ma|sigma_tot,max) | sqrt(sigma_t) , log(-3.024) ) 
7	629	92	1	9.45726	-0.0445901	-79.2442	-1.27613	  mix( 0.608+sigma |ma_sigma, sigma_tot*min_tot ) ^2 
8	569	97	1	10.3864	-0.0451897	-39.0709	-1.31186	   min(sigma, max(max,mu_tot) ) + min_tot*2.81  * sqrt(sigma_t)  
9	617	97	1	11.0708	-0.0452669	-30.7087	-1.24629	  mix(   avg( log(-9.696) , mu_tot/-2.638 ) -ma_sigma ^2 | max(sigma_t,max_tot) , mix(max_tot|max_tot,max_tot) ) * max(4.158,sigma)  
10	622	104	1	11.9614	-0.0445901	-75.3912	-1.31797	  mix( 0.608+sigma |ma_sigma, sigma_tot* exp( min(max,min_tot) )  ) ^2 
11	614	104	1	12.631	-0.0445901	-56.7221	-1.28722	  mix( 0.608+sigma |ma_sigma, sigma_tot* exp( min(max,max) )  ) ^2 
12	594	104	1	13.541	-0.0445901	-83.4563	-1.26271	  mix( 0.608+sigma |ma_sigma, sigma_tot* min( min(max,max) ,sigma_t)  ) ^2 
13	560	104	1	14.1942	-0.0462653	-66.1465	-1.26428	 max* sqrt( mix( min( mix( avg(min_tot,ma_sigma) | max(min_tot,1.174) , max(  min(5.904,mu_tot) + sqrt(ma)  ,sigma) ) , sqrt(7.53) ) | log(min_tot) ,ma_sigma) )  
14	607	105	1	14.9439	-0.0472353	-72.6295	-1.25604	 avg( min(max,sigma) , max( min( max(sigma_t,min_tot) ,  log( log(  avg(sigma_tot,sigma_t) * sqrt( avg(sigma_t,ma) )  ) ) ^2 ) , sqrt(-8.714) ) ) 
15	619	110	1	15.6513	-0.04486	-76.0693	-1.25387	 log(  sigma_t-max_tot ^  sqrt( avg( min( ma_sigma^2 ,6.274) ,ma) ) * avg(max, avg( max+min ,sigma) )   ) 
16	577	105	1	16.3208	-0.04486	-83.9283	-1.22026	 log(  sigma_t-max_tot ^  sqrt( avg( min( ma_sigma^2 ,6.274) ,ma) ) * avg(max, avg( max+min ,sigma) )   ) 
17	608	98	1	17.049	-0.0454909	-61.6603	-1.21457	 mix( avg( avg( min_tot+ min(  mix( exp(max_tot) | 8.078*sigma , max(max_tot,ma_sigma) ) * max_tot+max  , ma_sigma+max_tot )  ,   log( min( avg( max( min(8.466,sigma_t) , sqrt( log( min(max,    min_tot^ma_sigma ^ max(0.794,ma_sigma)  -max_tot ^sigma ) ) ) ) ,max) ,min_tot) ) -max_tot ^2 ) , log(3.934) ) | ma_sigma^2 , ma/-8.588 ) 
18	586	105	1	17.7828	-0.0464866	-81.9785	-1.21387	 avg( min( min(ma_sigma,sigma_t) , mix( mu_tot^min_tot |  exp(-4.39) - max( mix(sigma|ma_sigma,ma) , min( -2.142*min_tot , mix(1.776|6.942,mu_tot) ) )  ,mu_tot) ) , avg(min,sigma_tot) ) 
19	583	109	1	18.4589	-0.0464436	-50.0286	-1.2113	  max(max,min_tot) *  sqrt( avg( mu_tot* sqrt( ma^-5.698 )  ,sigma) ) + sqrt(max_tot)   
20	576	113	1	19.3015	-0.045736	-60.6577	-1.11633	  mix( min( max(max_tot,-7.354) ,min) | -4.78^2 , min+ma ) * max(ma,max_tot)  
21	614	117	1	20.074	-0.0446934	-65.3535	-1.17523	 avg( mix( log(max_tot) | mix( ma_sigma^2.964 | avg(sigma_t, sigma_tot^0.576 ) , sigma_t+min_tot ) , ma_sigma^2 ) , max*sigma ) 
22	584	117	1	20.5297	-0.0446934	-86.4862	-1.1806	 avg( mix( log(max_tot) | mix( ma_sigma^2.964 | avg(sigma_t, sigma_tot^0.576 ) , sigma_t+min_tot ) , ma_sigma^2 ) , max*sigma ) 
23	573	117	1	21.2626	-0.0460313	-60.276	-1.15676	 min( max(min,3.684) ,  mix( sqrt(ma_sigma) | min(ma_sigma,0.46) , min( avg( min+max , mix( exp(mu_tot) |  min(  max(-0.944,  sigma_tot^-2.13 ^2 ) +  sqrt( max( max(  exp(min) *max_tot ,sigma_tot) ,min_tot) ) +min_tot  , mix(min|1.086,mu_tot) ) + exp(max)  , max(min_tot,min_tot) ) ) , mix(ma|1.758,max_tot) ) ) * ma_sigma+ma  ) 
24	597	120	1	21.5967	-0.0460313	-88.1178	-1.15973	 min( max(min,3.684) ,  mix( sqrt(ma_sigma) | min(ma_sigma,0.46) , min( avg( min+max , mix( exp(mu_tot) |  min(  max(-0.944,  sigma_tot^-2.13 ^2 ) +  sqrt( max( max(  exp(min) *max_tot ,sigma_tot) ,min_tot) ) +min_tot  , mix(min|1.086,mu_tot) ) + exp(max)  , max(min_tot,min_tot) ) ) , mix(ma|1.758,max_tot) ) ) * ma_sigma+ma  ) 
25	563	124	1	22.173	-0.0452859	-64.4583	-1.16415	 avg( ma_sigma^2 , min( ma_sigma-mu_tot , min( max*ma_sigma , sqrt(ma) ) ) ) 
26	617	127	1	22.9315	-0.0452859	-85.2735	-1.1481	 avg( ma_sigma^2 , min( ma_sigma-mu_tot , min( max*ma_sigma , sqrt(ma) ) ) ) 
27	588	129	1	23.4573	-0.0459832	-86.1521	-1.17391	   min( sqrt( ma_sigma* sigma-ma  ) ,0.308) ^2 * exp(min_tot)  
