#Generation	Deleted programs	Maximum size	Minimum size	Average size	Maximum fitness	Minimum fitness	Average fitness	Best program
1	921	104	1	3.97081	-0.0471382	-69.3166	-2.38011	 mix(sigma|max,ma) 
2	61	104	1	3.9177	-0.0471382	-19.1166	-1.51324	 mix(sigma|max,ma) 
3	61	83	1	3.67854	-0.0471382	-59.6056	-0.69168	 mix(sigma|max,ma) 
4	51	80	1	3.46537	-0.0453246	-23.1572	-0.333592	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
5	48	80	1	3.5624	-0.0452382	-19.7816	-0.243053	  max(min,   min_tot+max * log(max)  *sigma ) - ma^2  
6	57	79	1	3.58433	-0.0453246	-12.7514	-0.222265	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
7	55	79	1	3.60261	-0.0453246	-17.9954	-0.211007	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
8	64	79	1	3.61514	-0.0453246	-17.6135	-0.207133	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
9	55	79	1	3.68155	-0.0453246	-24.7867	-0.211059	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
10	51	59	1	3.74631	-0.0453246	-21.696	-0.208793	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
11	68	59	1	3.8236	-0.0453246	-21.7046	-0.209735	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
12	53	59	1	3.75661	-0.0453246	-22.8085	-0.18232	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
13	42	59	1	3.65837	-0.0453246	-25.6135	-0.183218	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
14	60	59	1	3.93803	-0.0453246	-16.5116	-0.187092	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
15	57	59	1	4.15518	-0.0453246	-44.4229	-0.184959	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
16	48	59	1	4.15203	-0.0453246	-34.9288	-0.165719	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
17	54	59	1	3.80766	-0.0453246	-21.0576	-0.170926	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
18	46	64	1	3.33072	-0.0453246	-12.4377	-0.154836	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
19	50	64	1	3.39608	-0.0453246	-35.244	-0.159167	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
20	50	64	1	3.62	-0.0453246	-25.6954	-0.155163	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
21	58	67	1	3.79491	-0.0453246	-40.5801	-0.170134	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
22	64	67	1	3.98168	-0.0453246	-19.288	-0.160207	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
23	56	68	1	4.31909	-0.0453246	-22.6166	-0.159382	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
24	66	68	1	4.65704	-0.0453246	-16.4599	-0.156288	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
25	53	68	1	4.98954	-0.0453246	-31.3962	-0.168794	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
26	59	75	1	5.33437	-0.0453246	-28.2168	-0.158005	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
27	51	88	1	5.73565	-0.0453246	-46.5703	-0.166684	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
28	48	88	1	6.28055	-0.0453246	-21.1806	-0.185706	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
29	55	88	1	6.91403	-0.0453246	-15.7434	-0.167809	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
30	74	87	1	7.64356	-0.0453246	-11.8478	-0.176284	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
31	68	87	1	8.35642	-0.0453246	-29.0716	-0.200814	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
32	62	87	1	9.18656	-0.0453246	-34.6046	-0.188408	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
33	61	87	1	9.9837	-0.0453246	-45.7814	-0.194267	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
34	69	87	1	10.8112	-0.0453246	-18.8202	-0.194901	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
35	72	95	1	11.8449	-0.0453246	-19.9447	-0.179446	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
36	75	87	1	12.8405	-0.0453246	-20.7543	-0.192142	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
37	70	87	1	13.4632	-0.0453246	-70.9416	-0.191687	  max(min,   min_tot+max * log(max)  *sigma ) -mu_tot 
