
#Surface 0 of 1 surfaces

# Contour 0, label:     9.96
 0.0198925  0.01  9.96 
 0.01  0.0198925  9.96 


# Contour 1, label:     9.92
 0.0199212  0.01  9.92 
 0.019899  0.0101053  9.92 
 0.0101053  0.019899  9.92 
 0.01  0.0199212  9.92 


# Contour 2, label:     9.88
 0.0199842  0.01  9.88 
 0.019899  0.0104038  9.88 
 0.0104038  0.019899  9.88 
 0.01  0.0199842  9.88 


# Contour 3, label:     9.84
 0.0200472  0.01  9.84 
 0.019899  0.0107022  9.84 
 0.0107022  0.019899  9.84 
 0.01  0.0200472  9.84 


# Contour 4, label:      9.8
 0.0201101  0.01  9.8 
 0.019899  0.0110007  9.8 
 0.0110007  0.019899  9.8 
 0.01  0.0201101  9.8 


# Contour 5, label:     9.76
 0.0201731  0.01  9.76 
 0.019899  0.0112991  9.76 
 0.0112991  0.019899  9.76 
 0.01  0.0201731  9.76 


# Contour 6, label:     9.72
 0.0202361  0.01  9.72 
 0.019899  0.0115976  9.72 
 0.0115976  0.019899  9.72 
 0.01  0.0202361  9.72 


# Contour 7, label:     9.68
 0.0202991  0.01  9.68 
 0.019899  0.011896  9.68 
 0.011896  0.019899  9.68 
 0.01  0.0202991  9.68 


# Contour 8, label:     9.64
 0.0203621  0.01  9.64 
 0.019899  0.0121945  9.64 
 0.0121945  0.019899  9.64 
 0.01  0.0203621  9.64 


# Contour 9, label:      9.6
 0.020425  0.01  9.6 
 0.019899  0.0124929  9.6 
 0.0124929  0.019899  9.6 
 0.01  0.020425  9.6 


# Contour 10, label:     9.56
 0.020488  0.01  9.56 
 0.019899  0.0127914  9.56 
 0.0127914  0.019899  9.56 
 0.01  0.020488  9.56 


# Contour 11, label:     9.52
 0.020551  0.01  9.52 
 0.019899  0.0130898  9.52 
 0.0130898  0.019899  9.52 
 0.01  0.020551  9.52 


# Contour 12, label:     9.48
 0.020614  0.01  9.48 
 0.019899  0.0133883  9.48 
 0.0133883  0.019899  9.48 
 0.01  0.020614  9.48 


# Contour 13, label:     9.44
 0.020677  0.01  9.44 
 0.019899  0.0136868  9.44 
 0.0136868  0.019899  9.44 
 0.01  0.020677  9.44 


# Contour 14, label:      9.4
 0.0207399  0.01  9.4 
 0.019899  0.0139852  9.4 
 0.0139852  0.019899  9.4 
 0.01  0.0207399  9.4 


# Contour 15, label:     9.36
 0.0208029  0.01  9.36 
 0.019899  0.0142837  9.36 
 0.0142837  0.019899  9.36 
 0.01  0.0208029  9.36 


# Contour 16, label:     9.32
 0.0208659  0.01  9.32 
 0.019899  0.0145821  9.32 
 0.0145821  0.019899  9.32 
 0.01  0.0208659  9.32 


# Contour 17, label:     9.28
 0.0209289  0.01  9.28 
 0.019899  0.0148806  9.28 
 0.0148806  0.019899  9.28 
 0.01  0.0209289  9.28 


# Contour 18, label:     9.24
 0.0209919  0.01  9.24 
 0.019899  0.015179  9.24 
 0.015179  0.019899  9.24 
 0.01  0.0209919  9.24 


# Contour 19, label:      9.2
 0.0210548  0.01  9.2 
 0.019899  0.0154775  9.2 
 0.0154775  0.019899  9.2 
 0.01  0.0210548  9.2 


# Contour 20, label:     9.16
 0.0211178  0.01  9.16 
 0.019899  0.0157759  9.16 
 0.0157759  0.019899  9.16 
 0.01  0.0211178  9.16 


# Contour 21, label:     9.12
 0.0211808  0.01  9.12 
 0.019899  0.0160744  9.12 
 0.0160744  0.019899  9.12 
 0.01  0.0211808  9.12 


# Contour 22, label:     9.08
 0.0212438  0.01  9.08 
 0.019899  0.0163728  9.08 
 0.0163728  0.019899  9.08 
 0.01  0.0212438  9.08 


# Contour 23, label:     9.04
 0.0213068  0.01  9.04 
 0.019899  0.0166713  9.04 
 0.0166713  0.019899  9.04 
 0.01  0.0213068  9.04 


# Contour 24, label:        9
 0.0213697  0.01  9 
 0.019899  0.0169697  9 
 0.0169697  0.019899  9 
 0.01  0.0213697  9 


# Contour 25, label:     8.96
 0.0214327  0.01  8.96 
 0.019899  0.0172682  8.96 
 0.0172682  0.019899  8.96 
 0.01  0.0214327  8.96 


# Contour 26, label:     8.92
 0.0214957  0.01  8.92 
 0.019899  0.0175666  8.92 
 0.0175666  0.019899  8.92 
 0.01  0.0214957  8.92 


# Contour 27, label:     8.88
 0.0215587  0.01  8.88 
 0.019899  0.0178651  8.88 
 0.0178651  0.019899  8.88 
 0.01  0.0215587  8.88 


# Contour 28, label:     8.84
 0.0216217  0.01  8.84 
 0.019899  0.0181635  8.84 
 0.0181635  0.019899  8.84 
 0.01  0.0216217  8.84 


# Contour 29, label:      8.8
 0.0216846  0.01  8.8 
 0.019899  0.018462  8.8 
 0.018462  0.019899  8.8 
 0.01  0.0216846  8.8 


# Contour 30, label:     8.76
 0.0217476  0.01  8.76 
 0.019899  0.0187605  8.76 
 0.0187605  0.019899  8.76 
 0.01  0.0217476  8.76 


# Contour 31, label:     8.72
 0.0218106  0.01  8.72 
 0.019899  0.0190589  8.72 
 0.0190589  0.019899  8.72 
 0.01  0.0218106  8.72 


# Contour 32, label:     8.68
 0.0218736  0.01  8.68 
 0.019899  0.0193574  8.68 
 0.0193574  0.019899  8.68 
 0.01  0.0218736  8.68 


# Contour 33, label:     8.64
 0.0219366  0.01  8.64 
 0.019899  0.0196558  8.64 
 0.0196558  0.019899  8.64 
 0.01  0.0219366  8.64 


# Contour 34, label:      8.6
 0.0219995  0.01  8.6 
 0.0199199  0.019899  8.6 
